,state_id,year,conventional_energy,green_energy,pop_ideology,gov_ideology,population,median_income,green_per_capita,conv_per_capita,energy_total,perc_green_energy,perc_conv_energy,perc_change_green
55,AL,2017,87894262.0,52069984.0,,24.474624633789062,4874486.0,51113,10.682148640902856,18.031493371813973,139964246.0,0.37202346662161134,0.6279765333783887,0.04250904651003479
56,AR,1990,24119920.0,14979678.0,41.13786697387695,66.75050354003906,2356586.0,41565,6.356516587979391,10.235111300839435,39099598.0,0.3831159082505145,0.6168840917494856,0.0
57,AR,1991,24428382.0,16222862.0,40.277061462402344,66.43862915039062,2383144.0,41248,6.807336023337238,10.250485073499545,40651244.0,0.3990741833140457,0.6009258166859544,0.015958275063531202
58,AR,1992,25040493.0,14705608.0,45.69465637207031,66.43862915039062,2415984.0,41015,6.08679858807012,10.364511106033815,39746101.0,0.36998869398535467,0.6300113060146453,-0.02908548932869104
59,AR,1993,22467686.0,18030968.0,42.2312126159668,64.33601379394531,2456303.0,38594,7.340693717346761,9.14695214719031,40498654.0,0.445223883243132,0.554776116756868,0.07523518925777734
60,AR,1994,24643969.0,17386342.0,40.2962646484375,64.33601379394531,2494019.0,41950,6.971214734129933,9.881227448547905,42030311.0,0.41366198789249975,0.5863380121075003,-0.03156189535063225
61,AR,1995,27093174.0,14875263.0,40.07278060913086,64.33601379394531,2535399.0,41362,5.867030396399147,10.68596067127896,41968437.0,0.35443928969763633,0.6455607103023636,-0.05922269819486342
62,AR,1996,29879926.0,16153637.0,35.48787307739258,55.60865020751953,2572109.0,42332,6.280308105138624,11.616897262130026,46033563.0,0.35090998713264926,0.6490900128673507,-0.003529302564987069
63,AR,1997,27469739.0,17723861.0,45.3525276184082,47.74480056762695,2601090.0,39968,6.814012971485031,10.560856794651473,45193600.0,0.39217634797847484,0.6078236520215252,0.04126636084582558
64,AR,1998,29451306.0,16213995.0,47.00431823730469,47.74480056762695,2626289.0,41700,6.173728405365899,11.21403851594398,45665301.0,0.3550616035575896,0.6449383964424104,-0.03711474442088525
65,AR,1999,30937274.0,15613884.0,46.316192626953125,46.10160827636719,2651860.0,43807,5.88789905952803,11.66625462882656,46551158.0,0.3354134391243285,0.6645865608756715,-0.01964816443326106
66,AR,2000,29845972.0,14022255.0,33.54799270629883,46.10160827636719,2678588.0,42391,5.234942813153796,11.142427278849901,43868227.0,0.31964489925704087,0.6803551007429591,-0.015768539867287656
67,AR,2001,29862761.0,17329039.0,49.72428512573242,45.74949645996094,2691571.0,46272,6.4382618924041015,11.094918543854128,47191800.0,0.36720445077322755,0.6327955492267725,0.04755955151618668
68,AR,2002,29446300.0,17994713.0,43.528472900390625,45.74949645996094,2705927.0,44253,6.650110294919264,10.882148705415926,47441013.0,0.37930709869116835,0.6206929013088317,0.0121026479179408
69,AR,2003,32937821.0,17354119.0,50.40570831298828,45.357139587402344,2724816.0,42756,6.3689140844739605,12.088089984791633,50291940.0,0.3450675993012002,0.6549324006987999,-0.034239499389968175
70,AR,2004,32771647.0,19118035.0,52.62813949584961,45.357139587402344,2749686.0,45511,6.95280661137308,11.918323401290184,51889682.0,0.3684361565368622,0.6315638434631378,0.023368557235662002
71,AR,2005,30986428.0,16792789.0,49.19159698486328,45.357139587402344,2781097.0,46126,6.038188887334746,11.141800519722972,47779217.0,0.3514663917577385,0.6485336082422615,-0.016969764779123653
72,AR,2006,35348984.0,16797854.0,49.149349212646484,45.357139587402344,2821761.0,45164,5.952968376839853,12.527277824025493,52146838.0,0.3221260318794401,0.6778739681205599,-0.029340359878298417
73,AR,2007,35826328.0,18752459.0,56.386741638183594,61.13682174682617,2848650.0,48349,6.58292840468292,12.57659873975392,54578787.0,0.3435851185186655,0.6564148814813345,0.02145908663922541
74,AR,2008,36152185.0,18875945.0,57.63296890258789,61.13682174682617,2874554.0,45180,6.566564761002924,12.576624060636885,55028130.0,0.3430235590415302,0.6569764409584697,-0.0005615594771353205
75,AR,2009,37970684.0,19463037.0,44.23416519165039,61.13682174682617,2896843.0,41847,6.718706191533335,13.107608524176147,57433721.0,0.33887821755445724,0.6611217824455428,-0.004145341487072962
76,AR,2010,42290644.0,18681119.0,32.17314910888672,61.13682174682617,2921964.0,43477,6.393343312922404,14.473362437045768,60971763.0,0.3063896807445112,0.6936103192554888,-0.03248853680994607
77,AR,2011,44088396.0,17186721.0,29.159757614135742,57.71146774291992,2940667.0,45114,5.844497523861083,14.992651667121779,61275117.0,0.2804845072756042,0.7195154927243957,-0.025905173468906972
78,AR,2012,47241273.0,17734013.0,30.137731552124023,57.54805374145508,2952164.0,41735,6.00712324925038,16.002252246148927,64975286.0,0.2729347432191372,0.7270652567808628,-0.007549764056467012
79,AR,2013,45671112.0,14630815.0,29.73876190185547,46.673526763916016,2959400.0,42075,4.943845036155977,15.432557950936001,60301927.0,0.24262599435669777,0.7573740056433023,-0.030308748862439422
80,AR,2014,44393954.0,17185105.0,34.25514602661133,46.673526763916016,2967392.0,46560,5.791316078226267,14.960596375537847,61579059.0,0.27907384879005703,0.720926151209943,0.03644785443335927
81,AR,2015,38107720.0,17439583.0,33.41155242919922,26.676727294921875,2978048.0,44282,5.856044966367231,12.796207448637496,55547303.0,0.313959131373129,0.6860408686268711,0.03488528258307194
82,AR,2016,43383448.0,17055974.0,41.909751892089844,26.676727294921875,2989918.0,46894,5.704495574795028,14.509912311976448,60439422.0,0.2821994889362112,0.7178005110637888,-0.03175964243691776
83,AR,2017,45085449.0,15685686.0,,26.676727294921875,3001345.0,48829,5.226218911854518,15.021748249534792,60771135.0,0.25811079552817306,0.7418892044718269,-0.024088693408038153
84,AZ,1990,34509265.0,28265032.0,38.65205383300781,47.973670959472656,3684097.0,53309,7.672173669694365,9.367089140161076,62774297.0,0.4502644131562318,0.5497355868437682,0.0
85,AZ,1991,35008323.0,32194228.0,35.66222381591797,40.86630630493164,3788576.0,54101,8.497712069125708,9.240496429265244,67202551.0,0.47906258796634077,0.5209374120336593,0.02879817481010899
86,AZ,1992,38032799.0,32519928.0,43.20975875854492,36.744911193847656,3915740.0,50420,8.30492525039967,9.712799879460842,70552727.0,0.4609308439629839,0.5390691560370161,-0.018131744003356876
87,AZ,1993,39397035.0,29071951.0,39.20719528198242,25.523143768310547,4065440.0,51110,7.1509974320122796,9.690718593805345,68468986.0,0.4246002854489476,0.5753997145510523,-0.03633055851403627
88,AZ,1994,41093740.0,30840756.0,33.25286102294922,25.523143768310547,4245089.0,51349,7.265043441963172,9.68030116683066,71934496.0,0.4287338858953012,0.5712661141046989,0.00413360044635358
89,AZ,1995,34317984.0,35462955.0,40.25646209716797,21.3135986328125,4432499.0,49452,8.000668471668014,7.742355723035696,69780939.0,0.5082040383549439,0.4917959616450561,0.07947015245964267
90,AZ,1996,33335478.0,38319340.0,36.167476654052734,21.3135986328125,4586940.0,49377,8.354009426763811,7.267476356786878,71654818.0,0.5347768799022,0.4652231200978,0.026572841547256143
91,AZ,1997,37109509.0,41715691.0,42.391178131103516,21.313600540161133,4736990.0,50018,8.806370923307838,7.833985083354619,78825200.0,0.5292176994159228,0.47078230058407716,-0.005559180486277238
92,AZ,1998,40554847.0,41540225.0,43.53239440917969,21.313600540161133,4883342.0,55906,8.50651561983576,8.304732087164897,82095072.0,0.506001444276704,0.49399855572329604,-0.023216255139218767
93,AZ,2000,49922834.0,39023743.0,40.23054122924805,24.624414443969727,5160586.0,56788,7.561882119588744,9.67386920787678,88946577.0,0.43873237527735326,0.5612676247226467,-0.06726906899935076
94,AZ,2001,53286848.0,36624424.0,42.843685150146484,26.377017974853516,5273477.0,59270,6.945023937716994,10.10468956250307,89911272.0,0.4073396270047208,0.5926603729952792,-0.03139274827263244
95,AZ,2002,55630438.0,38413514.0,43.815311431884766,26.377017974853516,5396255.0,54292,7.118550550335372,10.309082502587442,94043952.0,0.40846341719029416,0.5915365828097058,0.0011237901855733479
96,AZ,2003,57117601.0,35940022.0,46.84286117553711,50.402835845947266,5510364.0,55000,6.522259146582694,10.365486018709472,93057623.0,0.3862125513349938,0.6137874486650062,-0.02225086585530034
97,AZ,2004,68160013.0,35036581.0,47.750816345214844,50.402835845947266,5652404.0,57039,6.198527387638959,12.058588345772879,103196594.0,0.33951295911956164,0.6604870408804384,-0.046699592215432184
98,AZ,2005,69140198.0,32338456.0,46.694358825683594,48.61355972290039,5839077.0,56931,5.538282163430967,11.840946437253695,101478654.0,0.31867249638529893,0.6813275036147011,-0.02084046273426271
99,AZ,2006,73425706.0,30966821.0,50.14946365356445,48.61355972290039,6029141.0,56864,5.136191208664717,12.178468873094857,104392527.0,0.2966382928923638,0.7033617071076361,-0.02203420349293511
100,AZ,2007,79826849.0,33514122.0,48.691864013671875,46.10859680175781,6167681.0,55957,5.433828695096261,12.942765522406233,113340971.0,0.2956929140831165,0.7043070859168835,-0.0009453788092473325
